	Data Name	Target No.	CMC(l:c)(D65)	Judgement	Pseudo Color(D65)	L*(D65)	a*(D65)	b*(D65)	dL*(D65)	da*(D65)	db*(D65)	dE*ab(D65)
   486 	[Retrieved Data]486 (5/13/2024 9:20:54 PM)	3	12.11	------		87.11	2.38	4.72	-6.73	1.17	8.38	10.81
   487 	[Retrieved Data]487 (5/13/2024 9:20:54 PM)	3	13.39	------		90.56	-1.65	6.10	-4.82	-3.07	9.45	11.04
   487 	[Retrieved Data]487 (5/13/2024 9:20:54 PM)	3	13.34	------		89.08	-1.63	5.72	-4.77	-2.84	9.39	10.91
   488 	[Retrieved Data]488 (5/13/2024 9:20:54 PM)	3	13.88	------		94.12	0.09	7.23	-1.26	-1.33	10.57	10.73
   488 	[Retrieved Data]488 (5/13/2024 9:20:54 PM)	3	13.88	------		92.78	0.17	6.84	-1.07	-1.05	10.51	10.62
   489 	[Retrieved Data]489 (5/13/2024 9:20:54 PM)	3	17.25	------		87.93	-1.34	9.13	-7.45	-2.76	12.48	14.79
   489 	[Retrieved Data]489 (5/13/2024 9:20:54 PM)	3	17.40	------		86.31	-1.30	8.87	-7.53	-2.52	12.53	14.84
   490 	[Retrieved Data]490 (5/13/2024 9:20:54 PM)	3	16.70	------		91.19	0.81	9.42	-4.19	-0.60	12.77	13.45
   490 	[Retrieved Data]490 (5/13/2024 9:20:54 PM)	3	16.84	------		89.73	0.91	9.14	-4.12	-0.30	12.80	13.45
   491 	[Retrieved Data]491 (5/13/2024 9:20:54 PM)	3	15.76	------		93.61	1.43	8.85	-1.77	0.02	12.19	12.32
   491 	[Retrieved Data]491 (5/13/2024 9:20:54 PM)	3	15.86	------		92.24	1.56	8.51	-1.61	0.34	12.17	12.28
   492 	[Retrieved Data]492 (5/13/2024 9:20:54 PM)	3	11.48	------		88.00	-1.80	3.79	-7.38	-3.22	7.13	10.75
   492 	[Retrieved Data]492 (5/13/2024 9:20:54 PM)	3	11.34	------		86.40	-1.77	3.35	-7.45	-2.99	7.01	10.66
   493 	[Retrieved Data]493 (5/13/2024 9:20:54 PM)	3	11.10	------		88.26	0.38	4.16	-7.12	-1.04	7.50	10.39
   493 	[Retrieved Data]493 (5/13/2024 9:20:54 PM)	3	11.00	------		86.68	0.48	3.71	-7.17	-0.74	7.38	10.31
   494 	[Retrieved Data]494 (5/13/2024 9:20:54 PM)	3	11.38	------		91.39	1.74	5.07	-3.99	0.32	8.42	9.32
   494 	[Retrieved Data]494 (5/13/2024 9:20:54 PM)	3	11.31	------		89.93	1.88	4.62	-3.91	0.66	8.28	9.18
   495 	[Retrieved Data]495 (5/13/2024 9:20:54 PM)	3	13.84	------		93.67	-2.14	6.63	-1.71	-3.56	9.97	10.72
   495 	[Retrieved Data]495 (5/13/2024 9:20:54 PM)	3	13.77	------		92.30	-2.13	6.23	-1.55	-3.35	9.90	10.56
   496 	[Retrieved Data]496 (5/13/2024 9:20:54 PM)	3	15.58	------		88.65	2.19	8.15	-6.73	0.77	11.49	13.34
   496 	[Retrieved Data]496 (5/13/2024 9:20:54 PM)	3	15.75	------		87.06	2.33	7.83	-6.78	1.12	11.50	13.39
   497 	[Retrieved Data]497 (5/13/2024 9:20:54 PM)	3	16.54	------		90.72	-1.38	8.91	-4.66	-2.80	12.26	13.41
   497 	[Retrieved Data]497 (5/13/2024 9:20:54 PM)	3	16.62	------		89.22	-1.34	8.61	-4.62	-2.56	12.28	13.37
   498 	[Retrieved Data]498 (5/13/2024 9:20:54 PM)	3	16.22	------		94.18	0.41	9.18	-1.20	-1.01	12.53	12.63
   498 	[Retrieved Data]498 (5/13/2024 9:20:54 PM)	3	16.28	------		92.84	0.51	8.84	-1.01	-0.70	12.50	12.56
   499 	[Retrieved Data]499 (5/13/2024 9:20:54 PM)	3	8.75	------		89.06	3.41	2.07	-6.32	1.99	5.42	8.56
   499 	[Retrieved Data]499 (5/13/2024 9:20:54 PM)	3	8.77	------		87.50	3.61	1.54	-6.34	2.39	5.21	8.55
   500 	[Retrieved Data]500 (5/13/2024 9:20:54 PM)	3	10.33	------		90.39	-1.86	3.29	-4.99	-3.27	6.63	8.92
   500 	[Retrieved Data]500 (5/13/2024 9:20:54 PM)	3	10.11	------		88.87	-1.84	2.83	-4.98	-3.05	6.49	8.73
   501 	[Retrieved Data]501 (5/13/2024 9:20:54 PM)	3	10.29	------		90.88	-0.17	3.94	-4.50	-1.59	7.28	8.70
   501 	[Retrieved Data]501 (5/13/2024 9:20:54 PM)	3	10.08	------		89.40	-0.09	3.47	-4.44	-1.31	7.13	8.50
   502 	[Retrieved Data]502 (5/13/2024 9:20:54 PM)	3	11.05	------		94.29	1.33	5.06	-1.09	-0.08	8.41	8.48
   502 	[Retrieved Data]502 (5/13/2024 9:20:54 PM)	3	10.96	------		92.96	1.46	4.60	-0.88	0.25	8.27	8.32
   503 	[Retrieved Data]503 (5/13/2024 9:20:54 PM)	3	14.63	------		88.19	0.23	7.17	-7.18	-1.19	10.52	12.79
   503 	[Retrieved Data]503 (5/13/2024 9:20:54 PM)	3	14.73	------		86.60	0.32	6.86	-7.25	-0.90	10.52	12.81
   504 	[Retrieved Data]504 (5/13/2024 9:20:54 PM)	3	14.53	------		91.46	2.45	7.64	-3.92	1.03	10.99	11.71
   504 	[Retrieved Data]504 (5/13/2024 9:20:54 PM)	3	14.65	------		90.00	2.60	7.29	-3.85	1.38	10.95	11.69
   505 	[Retrieved Data]505 (5/13/2024 9:20:54 PM)	3	16.54	------		93.63	-2.06	8.96	-1.75	-3.48	12.31	12.91
   505 	[Retrieved Data]505 (5/13/2024 9:20:54 PM)	3	16.58	------		92.25	-2.06	8.64	-1.60	-3.28	12.31	12.84
   506 	[Retrieved Data]506 (5/13/2024 9:20:54 PM)	3	17.74	------		88.93	2.85	10.00	-6.45	1.43	13.34	14.89
   506 	[Retrieved Data]506 (5/13/2024 9:20:54 PM)	3	18.00	------		87.37	3.02	9.75	-6.48	1.80	13.42	15.01
   507 	[Retrieved Data]507 (5/13/2024 9:20:54 PM)	3	49.50	------		23.62	2.11	0.26	-71.76	0.69	3.60	71.86
   507 	[Retrieved Data]507 (5/13/2024 9:20:54 PM)	3	61.54	------		4.77	2.01	-3.93	-89.07	0.79	-0.27	89.08
   508 	[Retrieved Data]508 (5/13/2024 9:20:54 PM)	3	74.85	------		42.58	-44.36	26.32	-52.80	-45.78	29.66	75.92
   508 	[Retrieved Data]508 (5/13/2024 9:20:54 PM)	3	94.71	------		36.58	-59.16	37.19	-57.27	-60.38	40.86	92.71
   509 	[Retrieved Data]509 (5/13/2024 9:20:54 PM)	3	10.04	------		93.94	-0.56	3.98	-1.44	-1.98	7.33	7.73
   509 	[Retrieved Data]509 (5/13/2024 9:20:54 PM)	3	9.76	------		92.62	-0.51	3.47	-1.23	-1.72	7.13	7.44
   510 	[Retrieved Data]510 (5/13/2024 9:20:54 PM)	3	14.24	------		87.76	-1.54	6.36	-7.62	-2.96	9.71	12.69
   510 	[Retrieved Data]510 (5/13/2024 9:20:54 PM)	3	14.26	------		86.15	-1.51	6.01	-7.70	-2.72	9.67	12.66
   511 	[Retrieved Data]511 (5/13/2024 9:20:54 PM)	3	13.15	------		91.14	0.32	6.42	-4.23	-1.10	9.76	10.70
   511 	[Retrieved Data]511 (5/13/2024 9:20:54 PM)	3	13.13	------		89.67	0.42	6.03	-4.17	-0.80	9.69	10.58
   512 	[Retrieved Data]512 (5/13/2024 9:20:54 PM)	3	13.54	------		94.09	1.11	7.04	-1.29	-0.31	10.38	10.47
   512 	[Retrieved Data]512 (5/13/2024 9:20:54 PM)	3	13.54	------		92.74	1.22	6.63	-1.11	0.00	10.30	10.36
   513 	[Retrieved Data]513 (5/13/2024 9:20:54 PM)	3	16.95	------		88.36	0.91	9.26	-7.02	-0.51	12.61	14.44
   513 	[Retrieved Data]513 (5/13/2024 9:20:54 PM)	3	17.15	------		86.79	1.01	9.01	-7.06	-0.21	12.68	14.51
   514 	[Retrieved Data]514 (5/13/2024 9:20:54 PM)	3	17.62	------		91.48	2.69	10.21	-3.89	1.27	13.56	14.16
   514 	[Retrieved Data]514 (5/13/2024 9:20:54 PM)	3	17.82	------		90.04	2.84	9.93	-3.81	1.62	13.60	14.21
   515 	[Retrieved Data]515 (5/13/2024 9:20:54 PM)	3	73.47	------		29.93	26.28	-46.65	-65.45	24.87	-43.31	82.33
   515 	[Retrieved Data]515 (5/13/2024 9:20:54 PM)	3	92.05	------		19.51	38.83	-58.64	-74.33	37.62	-54.98	99.81
   516 	[Retrieved Data]516 (5/13/2024 9:20:54 PM)	3	92.80	------		51.15	57.87	44.65	-44.23	56.45	47.99	86.30
   516 	[Retrieved Data]516 (5/13/2024 9:20:54 PM)	3	110.75	------		46.34	64.62	60.91	-47.50	63.40	64.58	102.21
   517 	[Retrieved Data]517 (5/13/2024 9:20:54 PM)	3	47.02	------		27.82	-1.20	1.91	-67.56	-2.62	5.25	67.82
   517 	[Retrieved Data]517 (5/13/2024 9:20:54 PM)	3	54.84	------		15.45	-1.79	2.18	-78.39	-3.01	5.84	78.67
   518 	[Retrieved Data]518 (5/13/2024 9:20:54 PM)	3	47.54	------		26.95	-0.03	2.01	-68.43	-1.45	5.35	68.66
   518 	[Retrieved Data]518 (5/13/2024 9:20:54 PM)	3	55.83	------		13.84	0.65	2.30	-80.01	-0.57	5.97	80.23
   519 	[Retrieved Data]519 (5/13/2024 9:20:54 PM)	3	47.30	------		27.44	-0.75	2.21	-67.94	-2.17	5.55	68.20
   519 	[Retrieved Data]519 (5/13/2024 9:20:54 PM)	3	55.43	------		14.56	-0.93	2.40	-79.29	-2.15	6.07	79.55
   520 	[Retrieved Data]520 (5/13/2024 9:20:54 PM)	3	47.03	------		27.95	-0.92	2.52	-67.43	-2.34	5.87	67.72
   520 	[Retrieved Data]520 (5/13/2024 9:20:54 PM)	3	54.75	------		15.85	-1.08	3.28	-78.00	-2.30	6.95	78.34
   521 	[Retrieved Data]521 (5/13/2024 9:20:54 PM)	3	47.78	------		26.62	-0.15	2.08	-68.75	-1.57	5.42	68.99
   521 	[Retrieved Data]521 (5/13/2024 9:20:54 PM)	3	56.32	------		13.13	0.30	2.28	-80.72	-0.92	5.95	80.94
   522 	[Retrieved Data]522 (5/13/2024 9:20:54 PM)	3	47.78	------		26.64	-0.34	2.04	-68.74	-1.76	5.39	68.97
   522 	[Retrieved Data]522 (5/13/2024 9:20:54 PM)	3	56.20	------		13.31	-0.02	2.26	-80.54	-1.24	5.93	80.76
   523 	[Retrieved Data]523 (5/13/2024 9:20:54 PM)	3	47.44	------		27.37	-0.50	2.70	-68.01	-1.92	6.05	68.30
   523 	[Retrieved Data]523 (5/13/2024 9:20:54 PM)	3	55.48	------		14.81	-0.26	3.64	-79.03	-1.48	7.31	79.39
   524 	[Retrieved Data]524 (5/13/2024 9:20:54 PM)	3	47.18	------		27.89	-0.59	3.09	-67.48	-2.01	6.43	67.82
   524 	[Retrieved Data]524 (5/13/2024 9:20:54 PM)	3	54.86	------		16.00	-0.41	4.38	-77.84	-1.62	8.05	78.27
   525 	[Retrieved Data]525 (5/13/2024 9:20:54 PM)	3	47.45	------		27.01	-0.34	1.68	-68.37	-1.76	5.03	68.58
   525 	[Retrieved Data]525 (5/13/2024 9:20:54 PM)	3	55.64	------		13.94	-0.17	1.56	-79.91	-1.38	5.23	80.09
   526 	[Retrieved Data]526 (5/13/2024 9:20:54 PM)	3	47.49	------		26.97	-0.28	1.78	-68.41	-1.70	5.13	68.62
   526 	[Retrieved Data]526 (5/13/2024 9:20:54 PM)	3	55.77	------		13.84	-0.10	1.91	-80.00	-1.32	5.57	80.20
   527 	[Retrieved Data]527 (5/13/2024 9:20:54 PM)	3	47.26	------		27.43	-0.45	2.11	-67.95	-1.87	5.45	68.20
   527 	[Retrieved Data]527 (5/13/2024 9:20:54 PM)	3	55.13	------		14.96	-0.27	2.48	-78.88	-1.49	6.15	79.13
   528 	[Retrieved Data]528 (5/13/2024 9:20:54 PM)	3	47.16	------		27.73	-1.15	2.33	-67.65	-2.57	5.67	67.94
   528 	[Retrieved Data]528 (5/13/2024 9:20:54 PM)	3	54.96	------		15.50	-1.59	2.96	-78.35	-2.81	6.63	78.68
   529 	[Retrieved Data]529 (5/13/2024 9:20:54 PM)	3	47.63	------		26.84	-0.13	2.06	-68.54	-1.55	5.41	68.77
   529 	[Retrieved Data]529 (5/13/2024 9:20:54 PM)	3	55.96	------		13.76	0.39	2.66	-80.08	-0.82	6.33	80.33
   530 	[Retrieved Data]530 (5/13/2024 9:20:54 PM)	3	47.44	------		27.27	-0.82	2.31	-68.11	-2.24	5.65	68.38
   530 	[Retrieved Data]530 (5/13/2024 9:20:54 PM)	3	55.46	------		14.70	-1.00	2.99	-79.15	-2.21	6.66	79.46
   531 	[Retrieved Data]531 (5/13/2024 9:20:54 PM)	3	47.21	------		27.79	-0.88	2.81	-67.59	-2.30	6.16	67.91
   531 	[Retrieved Data]531 (5/13/2024 9:20:54 PM)	3	55.02	------		15.69	-1.07	3.99	-78.16	-2.28	7.66	78.57
   532 	[Retrieved Data]532 (5/13/2024 9:20:54 PM)	3	48.54	------		25.13	0.73	0.90	-70.25	-0.69	4.24	70.38
   532 	[Retrieved Data]532 (5/13/2024 9:20:54 PM)	3	58.05	------		10.06	2.18	-0.39	-83.79	0.97	3.27	83.86
   533 	[Retrieved Data]533 (5/13/2024 9:20:54 PM)	3	47.17	------		27.56	-0.78	1.99	-67.82	-2.20	5.33	68.06
   533 	[Retrieved Data]533 (5/13/2024 9:20:54 PM)	3	55.29	------		14.67	-0.95	2.09	-79.17	-2.17	5.76	79.41
   534 	[Retrieved Data]534 (5/13/2024 9:20:54 PM)	3	47.27	------		27.40	-0.66	1.97	-67.98	-2.07	5.32	68.21
   534 	[Retrieved Data]534 (5/13/2024 9:20:54 PM)	3	55.27	------		14.74	-0.67	2.33	-79.11	-1.89	5.99	79.36
   535 	[Retrieved Data]535 (5/13/2024 9:20:54 PM)	3	46.85	------		28.15	-0.91	2.31	-67.23	-2.33	5.66	67.50
   535 	[Retrieved Data]535 (5/13/2024 9:20:54 PM)	3	54.44	------		16.19	-1.05	2.97	-77.65	-2.27	6.63	77.97
   536 	[Retrieved Data]536 (5/13/2024 9:20:54 PM)	3	47.69	------		26.76	-0.20	2.08	-68.62	-1.62	5.43	68.85
   536 	[Retrieved Data]536 (5/13/2024 9:20:54 PM)	3	56.07	------		13.59	0.14	2.62	-80.25	-1.07	6.28	80.51
   537 	[Retrieved Data]537 (5/13/2024 9:20:54 PM)	3	47.33	------		27.43	-0.39	2.46	-67.95	-1.81	5.81	68.22
   537 	[Retrieved Data]537 (5/13/2024 9:20:54 PM)	3	55.31	------		14.92	-0.14	3.23	-78.93	-1.35	6.89	79.24
   538 	[Retrieved Data]538 (5/13/2024 9:20:54 PM)	3	47.34	------		27.54	-1.16	2.55	-67.84	-2.58	5.90	68.14
   538 	[Retrieved Data]538 (5/13/2024 9:20:54 PM)	3	55.21	------		15.31	-1.64	3.50	-78.53	-2.85	7.17	78.91
   539 	[Retrieved Data]539 (5/13/2024 9:20:54 PM)	3	47.66	------		26.97	-0.09	2.62	-68.41	-1.51	5.97	68.69
   539 	[Retrieved Data]539 (5/13/2024 9:20:54 PM)	3	55.97	------		14.00	0.61	3.47	-79.84	-0.61	7.14	80.17
   540 	[Retrieved Data]540 (5/13/2024 9:20:54 PM)	3	49.69	------		23.35	2.27	0.25	-72.03	0.85	3.59	72.12
   540 	[Retrieved Data]540 (5/13/2024 9:20:54 PM)	3	61.66	------		4.60	2.03	-3.73	-89.25	0.81	-0.06	89.25
   541 	[Retrieved Data]541 (5/13/2024 9:20:54 PM)	3	76.12	------		42.65	-45.85	26.34	-52.73	-47.27	29.69	76.79
   541 	[Retrieved Data]541 (5/13/2024 9:20:54 PM)	3	95.81	------		36.88	-60.69	36.97	-56.96	-61.90	40.64	93.43
   542 	[Retrieved Data]542 (5/13/2024 9:20:54 PM)	3	46.96	------		27.95	-0.99	2.18	-67.42	-2.41	5.52	67.69
   542 	[Retrieved Data]542 (5/13/2024 9:20:54 PM)	3	54.54	------		15.98	-1.19	2.72	-77.86	-2.41	6.39	78.16
   543 	[Retrieved Data]543 (5/13/2024 9:20:54 PM)	3	47.79	------		26.55	-0.46	1.77	-68.83	-1.88	5.12	69.04
   543 	[Retrieved Data]543 (5/13/2024 9:20:54 PM)	3	56.31	------		13.07	-0.27	1.96	-80.77	-1.48	5.63	80.98
   544 	[Retrieved Data]544 (5/13/2024 9:20:54 PM)	3	47.39	------		27.30	-0.52	2.30	-68.08	-1.94	5.64	68.34
   544 	[Retrieved Data]544 (5/13/2024 9:20:54 PM)	3	55.42	------		14.74	-0.42	3.12	-79.10	-1.64	6.78	79.41
   545 	[Retrieved Data]545 (5/13/2024 9:20:54 PM)	3	46.94	------		28.14	-0.81	2.71	-67.24	-2.23	6.05	67.55
   545 	[Retrieved Data]545 (5/13/2024 9:20:54 PM)	3	54.57	------		16.22	-0.89	3.66	-77.63	-2.11	7.33	78.00
   546 	[Retrieved Data]546 (5/13/2024 9:20:54 PM)	3	47.80	------		26.63	-0.12	2.18	-68.75	-1.54	5.53	68.99
   546 	[Retrieved Data]546 (5/13/2024 9:20:54 PM)	3	56.17	------		13.50	0.43	2.81	-80.35	-0.79	6.47	80.61
   547 	[Retrieved Data]547 (5/13/2024 9:20:54 PM)	3	47.37	------		27.50	-0.27	2.86	-67.88	-1.69	6.21	68.18
   547 	[Retrieved Data]547 (5/13/2024 9:20:54 PM)	3	55.35	------		15.10	0.17	3.98	-78.75	-1.05	7.65	79.12
   548 	[Retrieved Data]548 (5/13/2024 9:20:54 PM)	3	72.26	------		29.95	25.51	-45.58	-65.43	24.09	-42.23	81.52
   548 	[Retrieved Data]548 (5/13/2024 9:20:54 PM)	3	90.76	------		19.47	37.92	-57.61	-74.37	36.70	-53.94	98.93
